String_1,String_2,Language
tccccccmmmmmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccmmmmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccmmmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccmmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccccmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccccccmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccccccccmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccccccccccmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccmmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccccccccccccmmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccmmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccccccccccccccmmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccmmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tcccccccccccccccccccccccccccccmm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccm,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccmmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccmmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccmmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccmmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccmmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccmmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccmmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccmmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccmmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccmmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccmmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccmmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccmmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccccmmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccmmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccccccmmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccccmmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccccccccmmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccccccmmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccccccccccmmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccccccccmmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccccccccccccmmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccccccccccmmmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccccccccccccccmmmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccccccccccccmmm,tc*m*
tccccccccccccccccccccccccccccccc,ccccccccccccccccccccccccccccccmm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccccccccccccccm,tc*m*
tccccccccccccccccccccccccccccccc,cccccccccccccccccccccccccccccccc,tc*m*
60rrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600rrrrrrrrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000rrrrrrrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000rrrrrrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000rrrrrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000rrrrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000rrrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000rrrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000rrrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000rrrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000000rrrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000000rrrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000rrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000000000rrrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000000000rrrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000rrrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000000000000rrrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000000000000rrrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000rrrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000000000000000rrrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000000000000000rrrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000rrrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000000000000000000rrrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000000000000000000rrrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000rrrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000000000000000000000rrrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000000000000000000000rrrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000rrr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
600000000000000000000000000000rr,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
6000000000000000000000000000000r,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,0rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,00rrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,000rrrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,0000rrrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,00000rrrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,000000rrrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,0000000rrrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,00000000rrrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,000000000rrrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,0000000000rrrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,00000000000rrrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,000000000000rrrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,0000000000000rrrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,00000000000000rrrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,000000000000000rrrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,0000000000000000rrrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,00000000000000000rrrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,000000000000000000rrrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,0000000000000000000rrrrrrrrrrrrr,60*r*
60000000000000000000000000000000,00000000000000000000rrrrrrrrrrrr,60*r*
60000000000000000000000000000000,000000000000000000000rrrrrrrrrrr,60*r*
60000000000000000000000000000000,0000000000000000000000rrrrrrrrrr,60*r*
60000000000000000000000000000000,00000000000000000000000rrrrrrrrr,60*r*
60000000000000000000000000000000,000000000000000000000000rrrrrrrr,60*r*
60000000000000000000000000000000,0000000000000000000000000rrrrrrr,60*r*
60000000000000000000000000000000,00000000000000000000000000rrrrrr,60*r*
60000000000000000000000000000000,000000000000000000000000000rrrrr,60*r*
60000000000000000000000000000000,0000000000000000000000000000rrrr,60*r*
60000000000000000000000000000000,00000000000000000000000000000rrr,60*r*
60000000000000000000000000000000,000000000000000000000000000000rr,60*r*
60000000000000000000000000000000,0000000000000000000000000000000r,60*r*
60000000000000000000000000000000,00000000000000000000000000000000,60*r*
35kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355kkkkkkkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555kkkkkkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555kkkkkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555kkkkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555kkkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555kkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555kkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555kkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555kkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555555kkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555555kkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555kkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555555555kkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555555555kkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555kkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555555555555kkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555555555555kkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555kkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555555555555555kkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555555555555555kkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555kkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555555555555555555kkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555555555555555555kkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555kkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555555555555555555555kkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555555555555555555555kkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555kkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
355555555555555555555555555555kk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
3555555555555555555555555555555k,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,5kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,55kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,555kkkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,5555kkkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,55555kkkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,555555kkkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,5555555kkkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,55555555kkkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,555555555kkkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,5555555555kkkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,55555555555kkkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,555555555555kkkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,5555555555555kkkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,55555555555555kkkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,555555555555555kkkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,5555555555555555kkkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,55555555555555555kkkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,555555555555555555kkkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,5555555555555555555kkkkkkkkkkkkk,35*k*
35555555555555555555555555555555,55555555555555555555kkkkkkkkkkkk,35*k*
35555555555555555555555555555555,555555555555555555555kkkkkkkkkkk,35*k*
35555555555555555555555555555555,5555555555555555555555kkkkkkkkkk,35*k*
35555555555555555555555555555555,55555555555555555555555kkkkkkkkk,35*k*
35555555555555555555555555555555,555555555555555555555555kkkkkkkk,35*k*
35555555555555555555555555555555,5555555555555555555555555kkkkkkk,35*k*
35555555555555555555555555555555,55555555555555555555555555kkkkkk,35*k*
35555555555555555555555555555555,555555555555555555555555555kkkkk,35*k*
35555555555555555555555555555555,5555555555555555555555555555kkkk,35*k*
35555555555555555555555555555555,55555555555555555555555555555kkk,35*k*
35555555555555555555555555555555,555555555555555555555555555555kk,35*k*
35555555555555555555555555555555,5555555555555555555555555555555k,35*k*
35555555555555555555555555555555,55555555555555555555555555555555,35*k*
0yxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyxxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyxxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyxxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyxxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyxxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyxxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyxxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyxxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyxxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyxxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyxxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyxxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyxxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyxxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyxxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyxxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyxxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyxxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyxxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyxxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyxxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyxxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyxxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyxxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyxxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyxx,0y*x*
0yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyx,0y*x*
